Sample,Homo,Het,Haploid.Cov,Error.Rate,Model.Fit,Genome.Size..b.,Genome.Size..Mb.,Label,Pop.x,Family,Env.x,Sex,Treatment,Sample.1,EPSPS_het,EPSPS_cov,EPSPS_copy,EPSPS_err,EPSPS_fit,EPSPS_length,scaling,EPSPS_scaledcov,EPSPS_scaledcopy,EPSPS_mapped_cov_mean,EPSPS_mapped_cov_var,Env.y,Pop.y,Unnamed: 28,Unnamed: 29,Pair,plinkorder,sample2,decimalLongitude,decimalLatitude,SeqNames,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,year,land_cover_class,top_class_1000m,proportion_agricultural_1000m,shannon_idx_1000m,proportion_natural_1000m,Unnamed: 49,Unnamed: 50,BIO4 = Temperature Seasonality (standard deviation ×100),Shannon idx,fipsx,"2,4-D",ATRAZINE,DICAMBA,GLUF OSINATE,GLYPHOSATE,METOLACHLOR,bio_17,bio_10,bio_01,bio_04,bio_15
4925,97.2,2.83,13.2,0.00332,0.771,531198086.0,531.198086,Pontoon_Nat_79_F_Co,Pontoon,79.0,Nat,F,Co,4925.0,0.0201,52.1,3.859259259,0.00334,1.08,11209.0,1.1209,58.39889,4.325843704,4.134891,0.643108,Natural,Pontoon,,,6.0,42.0,4925.0,-90.068054,38.699066,P6_Nat,,,,,,,,2018,"Developed, Low Intensity",Cultivated Crops,42.34383637,1.522509971,42.34383637,,,,,17119,10957.8,47218.0,11931.3,5652.4,93448.2,5852.5,3.0459518e-08,298.86435,286.64774,1022.4627,0.36846083
4928,97.1,2.89,13.2,0.00188,0.711,537725275.0,537.725275,Mulberry_Ag_192_F_So,Mulberry,192.0,Ag,F,So,4928.0,0.00162,39.7,3.393162393,0.00288,0.729,11098.0,1.1098,44.05906,3.765731624,3.036152,0.441063,Agricultural,Mulberry,,,5.0,37.0,4928.0,-89.272475,38.755485,P5_Ag,,,,,,,,2018,"Developed, Open Space",Cultivated Crops,39.82300885,1.76620195,39.82300885,,,,,17005,6741.0,24958.5,8448.9,4030.5,60385.5,3878.4,3.4570604e-08,298.82028,286.79904,1015.1073,0.33375627
4933,97.3,2.67,15.3,0.00392,1.1,509127561.0,509.127561,Kansas_Nat_65_M_Wa,Kansas,65.0,Nat,M,Wa,4933.0,0.00114,58.5,4.431818182,0.00513,1.08,10922.0,1.0922,63.8937,4.840431818,4.07102,0.752271,Natural,Kansas,,,16.0,107.0,4933.0,-95.239938,39.001464,P16_Nat,,,,,,,,2018,Woody Wetlands,Cultivated Crops,39.82127897,1.933302765,39.82127897,,,,,20045,7054.8,19566.8,5187.5,3421.4,40296.8,1713.4,9.440709e-09,299.20645,285.90796,1073.8074,0.5576726
4935,97.1,2.95,14.9,0.00344,0.781,513599670.0,513.59967,Granite_Ag_114_M_Co,Granite,114.0,Ag,M,Co,4935.0,0.00591,15.1,1.143939394,0.00546,0.881,11546.0,1.1546,17.43446,1.320792424,1.130601,0.183349,Agricultural,Granite,,,6.0,36.0,4935.0,-90.065665,38.670222,P6_Ag,,,,,,,,2018,"Developed, Low Intensity",Cultivated Crops,56.39534884,1.530050444,56.39534884,,,,,17119,10957.8,47218.0,11931.3,5652.4,93448.2,5852.5,3.0459518e-08,298.86435,286.64774,1022.4627,0.36846083
4939,97.2,2.76,13.5,0.00291,0.905,514303532.0,514.303532,Gascondale_Nat_147_M_Co,Gascondale,147.0,Nat,M,Co,4939.0,1e-05,7.57,0.4947712418,0.00473,0.415,22239.0,2.2239,16.834923,1.100321765,1.135737,0.288715,Natural,Gascondale,,,9.0,150.0,4939.0,-91.55559699,38.66783702,P9_Nat,,,,,,,,2018,Barren Land,Deciduous Forest,22.9980604,1.839746041,22.9980604,,,,,29073,324.3,2936.2,183.5,4326.6,4947.6,596.0,2.4192978e-08,299.14294,286.57193,1032.7964,0.3882354
4944,96.8,3.2,13.3,0.00232,0.738,543468362.0,543.468362,Browning_Nat_89_F_Co,Browning,89.0,Nat,F,Co,4944.0,0.0264,12.3,0.8255033557,0.00415,0.866,12688.0,1.2688,15.60624,1.047398658,1.015878,0.193299,Natural,Browning,,,11.0,67.0,4944.0,-90.36914203,40.12487104,P11_Nat,,,,,,,,2018,Emergent Herbaceous Wetlands,Emergent Herbaceous Wetlands,10.8130531,1.803900162,10.8130531,,,,,17169,3751.2,33578.0,5021.8,2793.5,48683.3,1251.0,2.3356357e-08,298.07678,285.13168,1087.3728,0.37279233
4948,97.6,2.36,12.2,0.00324,0.915,525251964.0,525.251964,Hernan_Ag_18_M_Wa,Hernan,18.0,Ag,M,Wa,4948.0,0.00373,24.8,1.837037037,0.00667,1.64,11505.0,1.1505,28.5324,2.113511111,2.310154,0.349548,Agricultural,Hernan,,,9.0,46.0,4948.0,-91.51230698,38.63920603,P9_Ag,,,,,,,,2018,"Developed, Low Intensity",Deciduous Forest,37.58649322,1.626719696,37.58649322,,,,,29073,324.3,2936.2,183.5,4326.6,4947.6,596.0,2.4192978e-08,299.14294,286.57193,1032.7964,0.3882354
4955,97.0,2.98,13.8,0.00251,1.27,525678371.0,525.678371,Weston_Ag_2_F_Co,Weston,2.0,Ag,F,Co,4955.0,0.00071,8.8,0.6616541353,0.00421,1.43,25108.0,2.5108,22.09504,1.661281203,1.35627,0.530443,Agricultural,Weston,,,1.0,35.0,4955.0,-83.79889,41.37218297,P1_Ag,,,,,,,,2018,"Developed, Medium Intensity",Cultivated Crops,82.48962656,0.6960728422,82.48962656,,,,,39173,20519.3,51872.6,3321.8,7535.9,120506.6,6009.6,2.747639e-08,296.08673,284.08786,990.5662,0.29595977
4958,97.3,2.74,14.5,0.00431,0.672,535352000.0,535.352,Keysport_Nat_164_F_Co,Keysport,164.0,Nat,F,Co,4958.0,0.00336,25.6,2.098360656,0.00748,2.28,11756.0,1.1756,30.09536,2.466832787,2.043618,0.247654,Natural,Keysport,,,5.0,34.0,4958.0,-89.277403,38.732444,P5_Nat,,,,,,,,2018,Water,Water,23.25131324,1.734988754,23.25131324,,,,,17027,13529.3,65777.3,8703.3,16995.6,103356.1,2734.1,3.4570604e-08,298.82028,286.79904,1015.1073,0.33375627
4960,97.4,2.59,11.8,0.00325,0.82,560553643.0,560.553643,Knox_Nat_63_F_So,Knox,63.0,Nat,F,So,4960.0,0.0261,12.2,0.884057971,0.00735,0.0,11924.0,1.1924,14.54728,1.054150725,1.05928,0.337897,Natural,Knox,,,15.0,65.0,4960.0,-86.746256,41.31732501,P15_Nat,,,,,,,,2018,Woody Wetlands,Woody Wetlands,19.61325967,1.20115978,19.61325967,,,,,18149,2756.5,13171.5,7393.4,1462.6,47365.2,4466.7,3.228768e-08,296.8684,284.2088,1039.7712,0.35223144
4964,97.1,2.89,13.0,0.0031,0.867,520878712.0,520.878712,Aurora_Nat_39_M_Co,Aurora,39.0,Nat,M,Co,4964.0,0.0263,13.3,0.9172413793,0.00654,0.342,11704.0,1.1704,15.56632,1.07353931,1.054534,0.108793,Natural,Aurora,,,3.0,23.0,4964.0,-84.89810603,39.05562996,P3_Nat,,,,,,,,2018,"Developed, Medium Intensity",Water,10.43046358,1.956058501,10.43046358,,,,,18029,2279.6,2392.4,277.7,1153.7,13143.0,1680.2,3.6089663e-08,297.56015,286.21942,961.5629,0.32453346
